Player Name,League,Squad,Country,Position,Annualized Salary
Z. Testa,A,Somber Bombers,Giumle Lizeibon,DFMF,"∂ 15,140,000"
K. Najjuma,A,Somber Bombers,Ngoque Blicri,DFMF,"∂ 22,470,000"
M. Nabukwasi,A,Somber Bombers,Quewenia,DFMF,"∂ 15,130,000"
R. De Wit,A,Somber Bombers,Lefghau,FW,"∂ 26,410,000"
D. Athieno,A,Somber Bombers,People's Land of Maneau,FW,"∂ 23,350,000"
R. Wambi,A,Somber Bombers,People's Land of Maneau,FW,"∂ 29,080,000"
X. Bekher,A,Somber Bombers,Lylimi,FWMF,"∂ 11,150,000"
X. Chauhan,A,Somber Bombers,Nancipenuaroe,FWMF,"∂ 25,610,000"
M. Janssens,A,Somber Bombers,Ledian,GK,"∂ 20,260,000"
K. Nandera,A,Somber Bombers,Landli Blicporlip,MF,"∂ 11,280,000"
A. Nassanga,A,Somber Bombers,People's Land of Maneau,MF,"∂ 21,490,000"
C. K?avi?_,A,Somber Bombers,People's Land of Maneau,MF,"∂ 26,240,000"
M. Ferrara,A,Somber Bombers,People's Land of Maneau,MF,"∂ 15,510,000"
Z. Yosef,A,Somber Bombers,People's Land of Maneau,MF,"∂ 11,110,000"
K. Mutero,A,Somber Bombers,Pierrema,MF,"∂ 14,320,000"
J. P?tersons,A,Somber Bombers,Danan Seekeeling,MFFW,"∂ 22,630,000"
H. Mafabi,A,Somber Bombers,Dosqaly,MFFW,"∂ 19,700,000"
O. Mägi,A,Stacked Rocks,Central Diasongo,DF,"∂ 25,920,000"
M. Tang,A,Stacked Rocks,Djipines,DF,"∂ 21,080,000"
H. bin Ibrahim,A,Stacked Rocks,Imaar Vircoand,DF,"∂ 11,110,000"
A. Janssen,A,Stacked Rocks,People's Land of Maneau,DF,"∂ 19,010,000"
E. Patra,A,Stacked Rocks,People's Land of Maneau,DF,"∂ 17,900,000"
F. Fujihara,A,Stacked Rocks,People's Land of Maneau,DF,"∂ 15,230,000"
S. Hamza,A,Stacked Rocks,People's Land of Maneau,DF,"∂ 15,730,000"
W. Karlsson,A,Stacked Rocks,Southern Ristan,DF,"∂ 8,030,000"
X. Nakibuuka,A,Stacked Rocks,Southern Ristan,DF,"∂ 15,250,000"
C. Bai,A,Stacked Rocks,Western Niasland,DF,"∂ 13,880,000"
D. Nishimura,A,Stacked Rocks,People's Land of Maneau,DFMF,"∂ 19,650,000"
L. End?,A,Stacked Rocks,Dosqaly,FW,"∂ 4,060,000"
Z. binti Zakaria,A,Stacked Rocks,People's Land of Maneau,FW,"∂ 30,440,000"
L. Kyalisiima,A,Stacked Rocks,Byasier Pujan,FWMF,"∂ 18,160,000"
C. Kadosh,A,Stacked Rocks,Landli Blicporlip,FWMF,"∂ 31,960,000"
C. Guerrero,A,Stacked Rocks,Lefghau,FWMF,"∂ 31,530,000"
W. Kong,A,Stacked Rocks,Imaar Vircoand,GK,"∂ 14,470,000"
W. Nasiru,A,Stacked Rocks,Rarita,GK,"∂ 21,780,000"
G. Magnusson,A,Stacked Rocks,Dosqaly,MF,"∂ 21,800,000"
H. Cardoso,A,Stacked Rocks,Dosqaly,MF,"∂ 15,390,000"
I. Nayak,A,Stacked Rocks,People's Land of Maneau,MF,"∂ 11,810,000"
A. Abbo,A,Stacked Rocks,Western Covaki,MF,"∂ 15,920,000"
W. Yahaya,A,Stacked Rocks,Greri Landmoslands,MFDF,"∂ 9,930,000"
X. Agbaria,A,Stacked Rocks,People's Land of Maneau,MFDF,"∂ 17,160,000"
J. Møller,A,Stacked Rocks,Southslands,MFDF,"∂ 10,290,000"
D. Namugerwa,A,Stacked Rocks,Imaar Vircoand,MFFW,"∂ 27,500,000"
H. Ruiz,A,Stacked Rocks,Imaar Vircoand,MFFW,"∂ 23,400,000"
J. Dubois,A,Stacked Rocks,Mico,MFFW,"∂ 28,270,000"
V. Álvarez,A,Stacked Rocks,Rarita,MFFW,"∂ 26,350,000"
U. Vitale,A,Sugar Storm,Esia,DF,"∂ 11,740,000"
P. Ferri,A,Sugar Storm,Highhlaands,DF,"∂ 10,700,000"
A. Nangobi,A,Sugar Storm,Ngoque Blicri,DF,"∂ 11,070,000"
A. Tumuhaise,A,Sugar Storm,People's Land of Maneau,DF,"∂ 21,190,000"
K. Yousefi,A,Sugar Storm,People's Land of Maneau,DF,"∂ 11,630,000"
Y. Musah,A,Sugar Storm,People's Land of Maneau,DF,"∂ 18,140,000"
Q. Donati,A,Sugar Storm,Quewenia,DF,"∂ 14,600,000"
P. Romero,A,Sugar Storm,Dosqaly,DFMF,"∂ 29,250,000"
J. Amsalem,A,Sugar Storm,Leoneku Guidisia,FW,"∂ 27,550,000"
X. Hasanovi?,A,Sugar Storm,People's Land of Maneau,FW,"∂ 8,090,000"
O. Kantono,A,Sugar Storm,Esia,FWMF,"∂ 19,430,000"
R. Kovalenko,A,Sugar Storm,Imaar Vircoand,FWMF,"∂ 32,140,000"
B. Álvarez,A,Sugar Storm,People's Land of Maneau,FWMF,"∂ 25,110,000"
E. Nakyeyune,A,Sugar Storm,People's Land of Maneau,FWMF,"∂ 7,540,000"
L. Hofmann,A,Sugar Storm,People's Land of Maneau,FWMF,"∂ 31,920,000"
L. Öztürk,A,Sugar Storm,Quewenia,FWMF,"∂ 29,530,000"
E. Hussain,A,Sugar Storm,Southslands,FWMF,"∂ 26,510,000"
W. Bruno,A,Sugar Storm,Tito Mian New Ili Siaco,FWMF,"∂ 32,390,000"
A. Bianco,A,Sugar Storm,Byasier Pujan,GK,"∂ 15,790,000"
Q. Nakyeyune,A,Sugar Storm,Esia,GK,"∂ 31,790,000"
W. Akena,A,Sugar Storm,Highhlaands,GK,"∂ 3,840,000"
K. Babi?,A,Sugar Storm,Esia,MF,"∂ 19,220,000"
L. Babirye,A,Sugar Storm,Esia,MF,"∂ 16,630,000"
M. Naigaga,A,Sugar Storm,Esia,MF,"∂ 17,790,000"
V. Namayanja,A,Sugar Storm,Ledian,MF,"∂ 19,050,000"
B. Chávez,A,Sugar Storm,Ngoque Blicri,MF,"∂ 14,480,000"
U. Nakafeero,A,Sugar Storm,People's Land of Maneau,MF,"∂ 2,500,000"
E. Ishida,A,Sugar Storm,Unicorporated Tiagascar,MF,"∂ 38,610,000"
M. De Smet,A,Sugar Storm,Redohrainbri,MFDF,"∂ 7,520,000"
I. Waiswa,A,Sugar Storm,Esia,MFFW,"∂ 41,050,000"
E. Kühn,A,Swift Musketeers,Dosqaly,DF,"∂ 23,810,000"
J. Jere,A,Swift Musketeers,Giumle Lizeibon,DF,"∂ 24,550,000"
D. Asaba,A,Swift Musketeers,Greri Landmoslands,DF,"∂ 26,000,000"
L. Chiu,A,Swift Musketeers,Lylimi,DF,"∂ 9,230,000"
W. Twinamatsiko,A,Swift Musketeers,Mico,DF,"∂ 10,980,000"
D. Shahar,A,Swift Musketeers,Nkasland Cronestan,DF,"∂ 11,380,000"
F. Fujihara,A,Swift Musketeers,People's Land of Maneau,DF,"∂ 19,690,000"
J. Ssempijja,A,Swift Musketeers,People's Land of Maneau,DF,"∂ 14,420,000"
P. Byamukama,A,Swift Musketeers,People's Land of Maneau,DF,"∂ 17,080,000"
Q. Tiko,A,Swift Musketeers,People's Land of Maneau,DF,"∂ 11,580,000"
D. Obeng,A,Swift Musketeers,Ngoque Blicri,FW,"∂ 26,240,000"
D. Tukamuhebwa,A,Swift Musketeers,People's Land of Maneau,FW,"∂ 22,310,000"
T. Acom,A,Swift Musketeers,People's Land of Maneau,FW,"∂ 33,190,000"
F. Siddiqui,A,Swift Musketeers,Southslands,FW,"∂ 24,410,000"
S. Sarpong,A,Swift Musketeers,Southslands,FW,"∂ 25,340,000"
A. Mlenga,A,Swift Musketeers,People's Land of Maneau,GK,"∂ 11,480,000"
F. Ribeiro,A,Swift Musketeers,People's Land of Maneau,GK,"∂ 24,760,000"
A. Kiss,A,Swift Musketeers,Mico,MF,"∂ 21,490,000"
V. Nakayima,A,Swift Musketeers,Nganion,MF,"∂ 15,890,000"
A. Lombardi,A,Swift Musketeers,Ngoque Blicri,MF,"∂ 35,630,000"
N. Nyesiga,A,Swift Musketeers,Southslands,MF,"∂ 12,480,000"
A. Avako,A,Swift Musketeers,People's Land of Maneau,MFDF,"∂ 29,710,000"
G. Abbas,A,Swift Musketeers,Reugha,MFDF,"∂ 33,900,000"
X. Nabaggala,A,Swift Musketeers,Biarizea,MFFW,"∂ 27,750,000"
R. Jacobs,A,Swift Musketeers,People's Land of Maneau,MFFW,"∂ 23,470,000"
A. Andama,B,Flawless Cows,Byasier Pujan,DF,"∂ 16,370,000"
Y. Nassuuna,B,Flawless Cows,Coastpa Barleslands,DF,"∂ 18,350,000"
J. Kyarisiima,B,Flawless Cows,Dosqaly,DF,"∂ 13,920,000"
M. Balá_,B,Flawless Cows,Dosqaly,DF,"∂ 20,870,000"
Q. Coppola,B,Flawless Cows,Dosqaly,DF,"∂ 22,580,000"
V. Mhlanga,B,Flawless Cows,Dosqaly,DF,"∂ 20,830,000"
J. Kawano,B,Flawless Cows,Esia,DF,"∂ 16,570,000"
O. Khainza,B,Flawless Cows,Lefghau,DF,"∂ 20,030,000"
J. Kondowe,B,Flawless Cows,Southern Ristan,DF,"∂ 15,970,000"
G. Tamm,B,Flawless Cows,Dosqaly,DFMF,"∂ 13,210,000"
D. Mabhena,B,Flawless Cows,Nganion,DFMF,"∂ 20,970,000"
H. Robert,B,Flawless Cows,Dosqaly,FW,"∂ 33,220,000"
B. Zheng,B,Flawless Cows,Imaar Vircoand,FW,"∂ 37,130,000"
I. Abeja,B,Flawless Cows,Janmico,FW,"∂ 29,370,000"
Y. Mutema,B,Flawless Cows,Nganion,FW,"∂ 1,150,000"
I. bin Yusof,B,Flawless Cows,Central Namemo Laand,FWMF,"∂ 29,810,000"
B. Obonyo,B,Flawless Cows,Imaar Vircoand,FWMF,"∂ 32,120,000"
R. Ssembatya,B,Flawless Cows,Nganion,FWMF,"∂ 23,070,000"
N. Kyohirwe,B,Flawless Cows,Dosqaly,GK,"∂ 1,680,000"
Y. Kyosiimire,B,Flawless Cows,Nganion,GK,"∂ 13,760,000"
X. Driscoll,B,Flawless Cows,Nkasland Cronestan,GK,"∂ 20,720,000"
P. Addae,B,Flawless Cows,South Sati Fatina,GK,"∂ 12,390,000"
D. Muhammad,B,Flawless Cows,Coastpa Barleslands,MF,"∂ 33,430,000"
H. Chirwa,B,Flawless Cows,Dosqaly,MF,"∂ 7,040,000"
P. Xu,B,Flawless Cows,Dosqaly,MF,"∂ 13,970,000"
K. Opio,B,Flawless Cows,Esia,MF,"∂ 28,520,000"
E. Sommer,B,Flawless Cows,Imaar Vircoand,MF,"∂ 15,690,000"
I. Marie,B,Flawless Cows,Sobianitedrucy,MF,"∂ 22,750,000"
O. Musonza,B,Flawless Cows,Nganion,MFDF,"∂ 12,470,000"
F. Yunusa,B,Flawless Cows,Rarita,MFDF,"∂ 17,280,000"
Z. Ahmetovi?,B,Flawless Cows,Lefghau,MFFW,"∂ 30,980,000"
O. Kuloba,B,Glistening Paladins,Central Namemo Laand,DF,"∂ 20,890,000"
A. Nabuuma,B,Glistening Paladins,Dosqaly,DF,"∂ 23,240,000"
L. Mulyani,B,Glistening Paladins,Dosqaly,DF,"∂ 15,960,000"
O. Wagner,B,Glistening Paladins,Dosqaly,DF,"∂ 7,190,000"
P. Amaniyo,B,Glistening Paladins,Dosqaly,DF,"∂ 13,330,000"
Q. Muduwa,B,Glistening Paladins,Dosqaly,DF,"∂ 20,930,000"
S. Bukirwa,B,Glistening Paladins,Dosqaly,DF,"∂ 15,750,000"
A. Palmieri,B,Glistening Paladins,Landsfupua,DF,"∂ 31,140,000"
A. Samanya,B,Glistening Paladins,Czechnor,FWMF,"∂ 14,060,000"
F. Lakot,B,Glistening Paladins,Dosqaly,FWMF,"∂ 21,280,000"
G. Lombardo,B,Glistening Paladins,Dosqaly,FWMF,"∂ 28,610,000"
G. Munsaka,B,Glistening Paladins,Dosqaly,FWMF,"∂ 35,010,000"
K. Adong,B,Glistening Paladins,Dosqaly,FWMF,"∂ 25,460,000"
Y. Low,B,Glistening Paladins,Dosqaly,FWMF,"∂ 29,400,000"
E. Ciobanu,B,Glistening Paladins,Tercapetralgrorus,FWMF,"∂ 27,200,000"
F. Kimera,B,Glistening Paladins,Dosqaly,GK,"∂ 19,470,000"
H. Jew,B,Glistening Paladins,Landsfupua,GK,"∂ 18,560,000"
F. Kabanda,B,Glistening Paladins,Dosqaly,MF,"∂ 18,290,000"
H. Lwanga,B,Glistening Paladins,Dosqaly,MF,"∂ 14,050,000"
J. Takali,B,Glistening Paladins,Dosqaly,MF,"∂ 34,800,000"
Z. Mlilo,B,Glistening Paladins,Pierrema,MF,"∂ 23,010,000"
M. Hassan,B,Glistening Paladins,Sobianitedrucy,MF,"∂ 31,420,000"
F. Aziz,B,Glistening Paladins,Dosqaly,MFFW,"∂ 20,650,000"
S. Vidal,B,Glistening Paladins,Dosqaly,MFFW,"∂ 21,650,000"
W. Santoro,B,Golden Rustlers,Coastpa Barleslands,DF,"∂ 12,200,000"
E. Gamal,B,Golden Rustlers,Dosqaly,DF,"∂ 10,680,000"
I. Chandra,B,Golden Rustlers,Dosqaly,DF,"∂ 15,020,000"
P. Igwe,B,Golden Rustlers,Dosqaly,DF,"∂ 17,600,000"
J. Mushabe,B,Golden Rustlers,Lefghau,DF,"∂ 18,240,000"
K. Abou,B,Golden Rustlers,Lefghau,DF,"∂ 19,210,000"
K. Oloya,B,Golden Rustlers,Quewenia,DF,"∂ 27,650,000"
B. Lai,B,Golden Rustlers,Rarita,DF,"∂ 14,760,000"
L. Okoye,B,Golden Rustlers,Rosvi,DF,"∂ 22,040,000"
F. Ahebwa,B,Golden Rustlers,Sobianitedrucy,DF,"∂ 17,370,000"
K. Mpirirwe,B,Golden Rustlers,Iverde,DFMF,"∂ 28,870,000"
A. Musonza,B,Golden Rustlers,Dosqaly,FW,"∂ 27,460,000"
E. Cortez,B,Golden Rustlers,Dosqaly,FW,"∂ 29,680,000"
U. Atugonza,B,Golden Rustlers,Republic of Denand Landsa,FW,"∂ 30,760,000"
F. Salonen,B,Golden Rustlers,Republic of Denand Landsa,FWDF,"∂ 33,130,000"
B. Ndlovu,B,Golden Rustlers,Dosqaly,FWMF,"∂ 33,800,000"
Y. Horváth,B,Golden Rustlers,Landli Blicporlip,FWMF,"∂ 21,330,000"
V. Bwambale,B,Golden Rustlers,Dosqaly,GK,"∂ 17,350,000"
U. Hansen,B,Golden Rustlers,Biarizea,MF,"∂ 13,830,000"
C. Langa,B,Golden Rustlers,Dosqaly,MF,"∂ 20,420,000"
L. Kond?,B,Golden Rustlers,Dosqaly,MF,"∂ 10,700,000"
W. Noguchi,B,Golden Rustlers,Lefghau,MF,"∂ 25,300,000"
M. Muwanga,B,Golden Rustlers,Manlisgamncent,MF,"∂ 35,020,000"
M. Anderson,B,Golden Rustlers,Nganion,MF,"∂ 13,270,000"
C. Shaheen,B,Golden Rustlers,Dosqaly,MFFW,"∂ 27,490,000"
T. Karmakar,B,Golden Rustlers,Dosqaly,MFFW,"∂ 30,590,000"
S. Namanya,B,Grotesque Rocks,Central Diasongo,DF,"∂ 8,100,000"
J. Suissa,B,Grotesque Rocks,Coastpa Barleslands,DF,"∂ 11,880,000"
E. Fujii,B,Grotesque Rocks,Dosqaly,DF,"∂ 17,380,000"
G. Namanya,B,Grotesque Rocks,Dosqaly,DF,"∂ 18,030,000"
H. Kaweesi,B,Grotesque Rocks,Dosqaly,DF,"∂ 23,190,000"
U. Müller,B,Grotesque Rocks,Dosqaly,DF,"∂ 24,140,000"
X. binti Awang,B,Grotesque Rocks,Rosvi,DF,"∂ 15,860,000"
O. Tshuma,B,Grotesque Rocks,Rarita,DFMF,"∂ 26,960,000"
A. Jensen,B,Grotesque Rocks,Buhegeor,FW,"∂ 35,080,000"
Q. Ssemwogerere,B,Grotesque Rocks,Dosqaly,FW,"∂ 12,710,000"
C. Kwakye,B,Grotesque Rocks,Nancipenuaroe,FW,"∂ 35,180,000"
B. Ghorbani,B,Grotesque Rocks,Ngogalar,FW,"∂ 31,450,000"
H. binti Yusof,B,Grotesque Rocks,New Somoe,FWMF,"∂ 28,550,000"
U. Dewi,B,Grotesque Rocks,Reugha,FWMF,"∂ 29,870,000"
T. Bukar,B,Grotesque Rocks,Southern Ristan,GK,"∂ 11,020,000"
B. Nalwanga,B,Grotesque Rocks,Dosqaly,MF,"∂ 28,900,000"
C. Chiwaya,B,Grotesque Rocks,Dosqaly,MF,"∂ 21,600,000"
F. Perrin,B,Grotesque Rocks,Dosqaly,MF,"∂ 26,580,000"
K. Kaudha,B,Grotesque Rocks,Dosqaly,MF,"∂ 21,160,000"
M. Jha,B,Grotesque Rocks,Dosqaly,MF,"∂ 36,200,000"
O. Soleimani,B,Grotesque Rocks,Dosqaly,MF,"∂ 32,000,000"
T. Orishaba,B,Grotesque Rocks,Dosqaly,MF,"∂ 30,850,000"
N. Ajidiru,B,Grotesque Rocks,Tabhu Striary,MF,"∂ 23,030,000"
C. Sari,B,Grotesque Rocks,Dosqaly,MFFW,"∂ 11,640,000"
X. Odongo,B,Grotesque Rocks,Unicorporated Tiagascar,MFFW,"∂ 9,950,000"
C. Namagembe,B,Hideous Pioneers,Dosqaly,DF,"∂ 12,830,000"
C. Nassiri,B,Hideous Pioneers,Dosqaly,DF,"∂ 26,370,000"
M. Wójcik,B,Hideous Pioneers,Dosqaly,DF,"∂ 7,820,000"
O. Monday,B,Hideous Pioneers,Dosqaly,DF,"∂ 12,980,000"
T. Mande,B,Hideous Pioneers,Dosqaly,DF,"∂ 16,360,000"
T. Nansubuga,B,Hideous Pioneers,Dosqaly,DF,"∂ 21,370,000"
X. Oláh,B,Hideous Pioneers,Dosqaly,DF,"∂ 16,810,000"
H. Pärn,B,Hideous Pioneers,Iverde,DF,"∂ 19,150,000"
B. Demir,B,Hideous Pioneers,Janmico,DF,"∂ 19,020,000"
E. binti Abdullah,B,Hideous Pioneers,Lylimi,DF,"∂ 6,610,000"
A. Zimmermann,B,Hideous Pioneers,Redohrainbri,DF,"∂ 28,250,000"
O. Dumitru,B,Hideous Pioneers,Dosqaly,FW,"∂ 31,230,000"
R. Nanono,B,Hideous Pioneers,Ingre,FW,"∂ 25,640,000"
U. Musekiwa,B,Hideous Pioneers,Southern Ristan,FW,"∂ 25,310,000"
G. Razak,B,Hideous Pioneers,Dosqaly,GK,"∂ 16,420,000"
T. Kibuuka,B,Hideous Pioneers,Janmico,GK,"∂ 11,370,000"
E. Loh,B,Hideous Pioneers,Manlisgamncent,GK,"∂ 18,230,000"
C. Kimura,B,Hideous Pioneers,Central Diasongo,MF,"∂ 19,040,000"
F. De León,B,Hideous Pioneers,Dosqaly,MF,"∂ 14,770,000"
G. Okeny,B,Hideous Pioneers,Dosqaly,MF,"∂ 24,080,000"
M. Onyango,B,Hideous Pioneers,Dosqaly,MF,"∂ 30,410,000"
N. Makombe,B,Hideous Pioneers,Dosqaly,MF,"∂ 17,740,000"
S. Ssenyonga,B,Hideous Pioneers,Dosqaly,MF,"∂ 18,590,000"
C. Ochen,B,Hideous Pioneers,Central Diasongo,MFFW,"∂ 31,420,000"
M. Chari,B,Hideous Pioneers,Dosqaly,MFFW,"∂ 2,050,000"
N. Obua,B,Hideous Pioneers,Dosqaly,MFFW,"∂ 10,590,000"
O. Tusabe,B,Hideous Pioneers,Dosqaly,MFFW,"∂ 24,060,000"
X. Chevalier,B,Hideous Pioneers,Dosqaly,MFFW,"∂ 14,150,000"
Y. Kabiru,B,Hideous Pioneers,Dosqaly,MFFW,"∂ 20,140,000"
I. Harawa,B,Hideous Pioneers,Southern Viout Aman,MFFW,"∂ 22,420,000"
O. Barone,B,Jumping Beans,Biarizea,DF,"∂ 21,230,000"
G. Sande,B,Jumping Beans,Central Diasongo,DF,"∂ 15,020,000"
M. Kamya,B,Jumping Beans,Dosqaly,DF,"∂ 13,460,000"
O. Kembabazi,B,Jumping Beans,Giumle Lizeibon,DF,"∂ 1,640,000"
L. Wenene,B,Jumping Beans,Southern Ristan,DF,"∂ 16,030,000"
N. Nakacwa,B,Jumping Beans,Central Diasongo,DFFW,"∂ 27,660,000"
Q. Mutabazi,B,Jumping Beans,Byasier Pujan,FW,"∂ 10,070,000"
O. Ghanbari,B,Jumping Beans,Coastpa Barleslands,FW,"∂ 21,060,000"
Q. Nampijja,B,Jumping Beans,Reugha,FW,"∂ 19,770,000"
C. Nafuna,B,Jumping Beans,Dosqaly,FWMF,"∂ 24,970,000"
E. Cortez,B,Jumping Beans,Dosqaly,FWMF,"∂ 28,320,000"
H. Simanjuntak,B,Jumping Beans,Dosqaly,FWMF,"∂ 20,030,000"
T. Peng,B,Jumping Beans,Dosqaly,FWMF,"∂ 15,540,000"
N. Grgi?,B,Jumping Beans,Ingre,FWMF,"∂ 23,100,000"
N. Lee,B,Jumping Beans,Landli Blicporlip,FWMF,"∂ 32,310,000"
V. Nabbosa,B,Jumping Beans,Quewenia,FWMF,"∂ 10,460,000"
E. Muwanguzi,B,Jumping Beans,Reugha,FWMF,"∂ 27,500,000"
J. Matambo,B,Jumping Beans,Dosqaly,GK,"∂ 3,260,000"
K. Adero,B,Jumping Beans,Rosvi,GK,"∂ 11,660,000"
T. Makaza,B,Jumping Beans,Central Namemo Laand,MF,"∂ 20,050,000"
K. Akullu,B,Jumping Beans,Dosqaly,MF,"∂ 23,560,000"
H. Rees,B,Jumping Beans,Eastern Covaki,MF,"∂ 20,960,000"
E. Ayerango,B,Jumping Beans,Loco Phirema,MF,"∂ 6,350,000"
Q. Pettersson,B,Jumping Beans,Southern Viout Aman,MF,"∂ 28,950,000"
R. Rusere,B,Jumping Beans,Tercapetralgrorus,MF,"∂ 23,890,000"
X. Opira,B,Jumping Beans,Dosqaly,MFFW,"∂ 10,600,000"
N. Kayemba,B,Lady Ocelots,Central Namemo Laand,DF,"∂ 15,420,000"
J. Arach,B,Lady Ocelots,Dosqaly,DF,"∂ 16,900,000"
Q. Basemera,B,Lady Ocelots,Dosqaly,DF,"∂ 11,780,000"
T. Gayakwad,B,Lady Ocelots,Dosqaly,DF,"∂ 6,660,000"
K. Nambi,B,Lady Ocelots,Nancipenuaroe,DF,"∂ 12,240,000"
M. Namale,B,Lady Ocelots,Redohrainbri,DF,"∂ 18,350,000"
B. Kaweesa,B,Lady Ocelots,Reugha,DF,"∂ 12,490,000"
R. Arineitwe,B,Lady Ocelots,Sobianitedrucy,DF,"∂ 15,570,000"
D. Ochan,B,Lady Ocelots,Coastpa Barleslands,FW,"∂ 23,590,000"
F. Chiumia,B,Lady Ocelots,Dosqaly,FW,"∂ 26,610,000"
R. Ibrahimovi?,B,Lady Ocelots,Dosqaly,FW,"∂ 11,450,000"
B. Moss,B,Lady Ocelots,Lonnia Haba,FW,"∂ 36,310,000"
I. Yoshida,B,Lady Ocelots,Southern Ristan,FW,"∂ 27,520,000"
P. Martin,B,Lady Ocelots,Xikong,FW,"∂ 30,100,000"
A. Maganda,B,Lady Ocelots,Dosqaly,FWMF,"∂ 18,500,000"
T. Dehghan,B,Lady Ocelots,Lenia Gerdanho,FWMF,"∂ 33,920,000"
K. Tukamushaba,B,Lady Ocelots,Reugha,FWMF,"∂ 25,460,000"
K. Boyer,B,Lady Ocelots,Western Niasland,FWMF,"∂ 24,520,000"
Q. Balodis,B,Lady Ocelots,Western Niasland,FWMF,"∂ 19,040,000"
Y. Campbell,B,Lady Ocelots,Dosqaly,GK,"∂ 8,390,000"
M. Tetteh,B,Lady Ocelots,Buhegeor,MF,"∂ 16,210,000"
E. Daan,B,Lady Ocelots,Dosqaly,MF,"∂ 7,640,000"
G. Jee,B,Lady Ocelots,Dosqaly,MF,"∂ 19,520,000"
P. Giramia,B,Lady Ocelots,Dosqaly,MF,"∂ 21,540,000"
X. Santoso,B,Lady Ocelots,Dosqaly,MF,"∂ 34,830,000"
L. Gutiérrez,B,Lady Ocelots,Central Diasongo,MFFW,"∂ 18,880,000"
E. Kunihira,B,Lady Ocelots,Lenia Gerdanho,MFFW,"∂ 23,380,000"
K. Weiß,B,Overconfident Kangaroos,Central Diasongo,DF,"∂ 21,460,000"
F. bin Ishak,B,Overconfident Kangaroos,Dosqaly,DF,"∂ 13,450,000"
F. Turunen,B,Overconfident Kangaroos,Dosqaly,DF,"∂ 14,400,000"
K. Amer,B,Overconfident Kangaroos,Dosqaly,DF,"∂ 22,680,000"
K. Ber,B,Overconfident Kangaroos,Dosqaly,DF,"∂ 16,300,000"
S. Aisyah,B,Overconfident Kangaroos,Dosqaly,DF,"∂ 10,140,000"
C. Namanda,B,Overconfident Kangaroos,Puway,DF,"∂ 14,990,000"
Y. Koay,B,Overconfident Kangaroos,Reugha,DF,"∂ 12,260,000"
U. Lindberg,B,Overconfident Kangaroos,Dosqaly,DFMF,"∂ 11,240,000"
Q. Mangwiro,B,Overconfident Kangaroos,Coastpa Barleslands,FW,"∂ 18,770,000"
U. Mustapha,B,Overconfident Kangaroos,Dosqaly,FW,"∂ 23,000,000"
U. Cardoso,B,Overconfident Kangaroos,Slandsganiamayotteque,FW,"∂ 30,100,000"
H. Sugiyama,B,Overconfident Kangaroos,Dosqaly,FWMF,"∂ 26,400,000"
Q. Awekonimungu,B,Overconfident Kangaroos,Dosqaly,FWMF,"∂ 27,070,000"
E. Wibowo,B,Overconfident Kangaroos,Coastpa Barleslands,GK,"∂ 16,090,000"
B. Ochieng,B,Overconfident Kangaroos,Dosqaly,GK,"∂ 23,160,000"
G. Nakisuyi,B,Overconfident Kangaroos,Central Namemo Laand,MF,"∂ 20,170,000"
F. Bello,B,Overconfident Kangaroos,Dosqaly,MF,"∂ 22,850,000"
I. Salminen,B,Overconfident Kangaroos,Dosqaly,MF,"∂ 10,550,000"
L. Akulu,B,Overconfident Kangaroos,Dosqaly,MF,"∂ 15,450,000"
M. Jha,B,Overconfident Kangaroos,Dosqaly,MF,"∂ 24,980,000"
Y. Ademovi?,B,Overconfident Kangaroos,Dosqaly,MF,"∂ 22,230,000"
Y. Zia,B,Overconfident Kangaroos,Dosqaly,MF,"∂ 15,920,000"
M. Sharabi,B,Overconfident Kangaroos,Dosqaly,MFDF,"∂ 2,760,000"
D. Kakande,B,Overconfident Kangaroos,Dosqaly,MFFW,"∂ 22,130,000"
Q. Ajiko,B,Overconfident Kangaroos,Lefghau,MFFW,"∂ 36,370,000"
X. Ssemakula,B,Serious Thunderbirds,Central Namemo Laand,DF,"∂ 15,400,000"
A. Nakiranda,B,Serious Thunderbirds,Dosqaly,DF,"∂ 21,440,000"
E. Fernando,B,Serious Thunderbirds,Dosqaly,DF,"∂ 20,640,000"
E. Schmitz,B,Serious Thunderbirds,Dosqaly,DF,"∂ 17,580,000"
M. Begu,B,Serious Thunderbirds,Dosqaly,DF,"∂ 21,140,000"
U. Chen,B,Serious Thunderbirds,Dosqaly,DF,"∂ 26,780,000"
V. Nyiramugisha,B,Serious Thunderbirds,Dosqaly,DF,"∂ 7,810,000"
L. Rostami,B,Serious Thunderbirds,Former Maneau,DF,"∂ 18,870,000"
S. Agustina,B,Serious Thunderbirds,Lefghau,DF,"∂ 6,000,000"
I. Norouzi,B,Serious Thunderbirds,Nganion,DF,"∂ 25,630,000"
K. Guerra,B,Serious Thunderbirds,Dosqaly,FW,"∂ 24,240,000"
P. Kamya,B,Serious Thunderbirds,Dosqaly,FW,"∂ 21,720,000"
T. Amutuhaire,B,Serious Thunderbirds,Dosqaly,FW,"∂ 10,530,000"
A. Kyohirwe,B,Serious Thunderbirds,Tercapetralgrorus,FW,"∂ 14,540,000"
D. Dumitru,B,Serious Thunderbirds,Czechnor,FWDF,"∂ 26,370,000"
